,index,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,StateAverage
0,1,10018,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233,jefferwon,2054258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,empty,empty,al_scip-card-2
1,2,10018,callahan ete foundation hospital,1720 university blvd,empty,empty,birmimgham,al,35233,hefferson,2053258100,acute care hospitals,voluntary non-profit - private,ges,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,empty,empty,al_scip-inf-1
2,3,10018,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,wl,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevengion,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,empty,empty,al_scip-inf-2
3,4,10018,callahan eye foundation hospital,1720 university blbd,empty,empty,birmingham,al,35233,jefcerson,2053258100,acute care hospitals,voluntary non-profit - private,6es,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),empty,empty,al_scip-inf-3
4,5,10018,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35223,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yrs,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,empty,al_scip-inf-4
5,6,10018,callahan eye foundation hospifal,1720 university blvd,empty,empty,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,tes,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),empty,empty,al_scip-inf-6
6,7,10018,callahan eye foundation hospital,17q0 university blvd,empty,empty,birmingham,ak,35233,jeffersob,2053248100,acute care hospitals,voluntary non-profit - private,yez,surgical infection orevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,empty,empty,wl_scip-vte-1
7,8,10018,callahan eye foundation hospital,1720 university blvd,empty,empty,birmimgham,sl,35233,jefferson,2053258100,acute care hospitals,goluntary non-profit - private,yss,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,empty,empty,al_scip0vte-2
8,9,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,dheffield,ap,35660,jefferson,25638y4556,acute care hospitals,government - hospital district or authority,y4s,heart attack,ami-1,heart attack patients given aspirin at arrival,97%,33 patients,al_ami-1
9,10,10019,helen ke;ler memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,ak,35660,jeffe5son,2563864556,acute care hospitals,government - hospital district or authority,tes,hea5t attack,ami-2,heart attack patients given aspirin at discharge,92%,13 patients,al_ami-2
10,11,10019,helen keller memorial hospital,1300 south montgomrry avenue,empty,empty,sbeffield,a;,35660,jeffeeson,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),75%,4 patients,al_ami-3
11,12,10019,helen keller memorial hosp9tal,1400 south montgomery avenue,empty,empty,sheffield,al,35660,jefferson,2563864556,acute care hospitals,government - hospital district or au6hority,ues,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,100%,4 patients,al_ami-4
12,13,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sh3ffield,a;,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yrs,heart attack,ami-5,heart attack patients given beta blocker at discharge,86%,14 patients,al_ami-5
13,14,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,zl,35660,jeffers0n,2563864556,acute care hospitals,government - hospital district or authority,yds,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,0 patients,al_ami-7a
14,15,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffielx,"a,",35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-ia,heart attack patients given pci within 90 minutes of arrival,empty,0 patients,al_ami-8a
15,16,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,shefgield,al,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yrs,heart failure,hf-1,heart failure patients given discharge instructions,80%,114 patients,al_hf-1
16,17,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,sl,35660,j4fferson,2563864556,acute care hospitals,government - hospital district or authority,ges,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,99%,149 patients,al_hf-2
17,18,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35670,jeffers9n,2563864556,acute care hospitals,government - hospital district or authority,yes,heart failure,hf-3,heart failure patients given ace inhibitor or wrb for left ventricular systolic dysfunction (lvsd),92%,37 patients,al_hf-3
18,19,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffielx,sl,35660,jeffersom,2563864556,acute care hospitals,government - hospital district or authority,ues,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,100%,41 patients,al_hf-4
19,20,10001,southeast zlabama medical center,1108 ross clark circle,empty,empty,dothan,ql,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yes,hea5t attack,ami-1,heart attack patients given aspirin at arrival,98%,270 patients,al_ami-1
20,21,10001,southeast alabama medical center,11o8 ross clark circle,empty,empty,dothab,wl,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,yds,heart attack,ami-2,heart attack patients given aspirin at discharge,99%,516 patients,al_ami-2
21,22,10001,southeast alabama medical center,1108 ross clafk circle,empty,empty,dothan,al,36302,houzton,3347938701,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),96%,71 patients,al_ami-3
22,23,10001,southeast alabama medical center,1108 ross clqrk circle,empty,empty,doyhan,zl,36302,houeton,3347938701,acute care hospitals,government - hospital district or authority,y3s,heart agtack,ami-4,heart attack patients given smoking cessation advice/counseling,100%,244 patients,al_ami-4
